objective,p01rcy,p02rcy,p03rcy,p04rcy,totalspend,totaltrans,p05spend,p05trans,p06rcy,p07rcy,p08rcy,p11rcy,p12rcy,p13rcy,p15rcy,p16spend,p16rcy,p16tenure,p16trans,p17rcy,Spend,Noofproductspurchased,UserBuyFactor,Gender,unempml25,LogMstRcntPurchage,lgTransSpend,LonPar,Mostrecent1,Mostrecent2,Mostrecent3,Comp.1,Comp.2,Comp.3,Comp.4,Comp.5,Comp.6,Comp.7,Comp.8,Comp.9,Comp.10,Comp.11,Comp.12,Comp.13,Comp.14,Comp.15
1,0,0,1,1,11079,156,0,0,0,0,0,0,1,0,1,0,0,0,0,1,5,5,4.0606061,2,0,-0.062520399,4.262950696,0.1258803,3,17,15,-98051.23503,16133.35007,1014.641037,-6197.443877,3894.148629,-3098.170406,650.5199575,-996.4357408,-678.1849875,-530.7402835,-42.21539917,123.5843621,-27.25969102,-14.47354466,10.3325824
1,0,0,0,0,4810,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,6.869014451,0.1623377,0,0,0,-53412.61953,-151.8755127,-973.8834299,-18343.92145,-2483.680599,1016.362369,-819.3047086,-715.5029862,-63.70455742,-888.5638891,-322.8725618,15.46787204,-0.29901048,-38.04431061,-10.6519721
0,0,0,0,0,1991,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.804632835,0.1409091,0,0,0,-57740.57742,40632.65404,-14441.84303,-14357.2347,659.8484526,-1100.352976,-1785.567398,-265.3524051,-363.7288325,368.4998767,90.19015771,16.94382528,-6.824428356,8.116523328,-4.666699764
1,1,1,0,0,1592,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,2.0391304,2,1,-0.039916571,4.887839717,0.12,2,7,1,-77254.96278,12349.5568,-4660.126438,-7377.915389,690.4670397,-806.6226034,150.0371976,-300.2380144,-445.466365,-126.7023021,321.1144401,-23.5915606,3.023439829,-17.79117578,5.78706914
1,0,0,0,0,3572,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0844445,2,0,-0.088224294,7.487733761,0.1324042,6,0,0,-60761.93656,2616.518673,-3991.270434,-7720.282888,-2580.097379,-2072.605862,-222.8508976,-31.863164,-1051.050657,364.1359016,-221.8872223,-38.46706376,5.573327483,-21.91639826,-5.62402459
0,1,1,1,0,3507,44,0,0,0,0,1,0,1,0,1,0.00387597,0.9391304,0.06796116,0.023,0,7,7,6.1043478,3,0,-0.110203111,4.378326616,0.1016667,1,12,2,-50027.77527,34755.21715,-291.3532343,-10737.66264,-683.1319978,-1867.962021,424.1767075,511.0449069,-76.57234405,26.61161827,27.71710278,-61.08030003,3.120325288,-5.308905989,9.066203172
0,0,0,1,0,1487,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0043859,1,1,-0.004395546,4.213473493,0.1330014,3,0,0,-72870.72541,2156.329091,-8704.309693,-9593.448315,-2093.616273,-3335.657625,1129.58024,55.49123869,-619.4425832,193.2270997,579.7228546,-21.74719575,29.48221585,-9.647036149,8.757467774
1,1,1,0,0,6784,81,0,0,1,1,0,1,1,0,1,0.00690608,0.9350649,0.06796116,0.012,1,9,9,8.1038961,1,1,-0.109698913,4.427873023,0.1234756,15,6,1,-38390.96806,26622.32219,-5369.807802,-4602.742426,-346.0515047,-1532.321406,836.2885331,167.1670841,-1442.624243,-311.9281268,249.275872,-29.23259922,4.108919296,-29.49434197,9.216204846
0,0,0,1,0,6505,40,0,0,0,0,0,0,0,0,1,0.0308642,0.9090909,0.09708738,0.025,1,4,4,3.0909091,3,1,-0.09531019,5.091446937,0.2382415,15,17,3,-70486.1803,8276.93931,-8293.730776,-13287.81384,4095.86197,-731.4897876,-1081.022456,-559.112886,-760.748119,-190.5990559,598.1259995,9.557921238,8.768180286,-22.77048139,2.858329025
1,1,0,1,0,7025,47,0,0,0,1,1,1,1,0,1,0,0,0,0,0,7,7,6.0565217,2,0,-0.058181914,5.007082892,0.0694118,3,12,15,-93730.25976,11375.15631,-9968.819456,-1013.057029,5619.095251,-2177.008983,845.9611487,501.5144446,398.2063588,323.8018836,275.0362997,-98.07449244,43.21479652,-7.771755563,2.917231327
0,0,0,0,0,4618,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,5.95281034,0.12,0,0,0,-77237.18511,12349.147,-4665.337731,-7390.039654,665.723845,-866.7851599,-141.1270043,928.1406589,34.19676863,-130.1668468,373.7276437,-50.2789537,17.9998125,-15.3065724,4.848328299
1,0,0,1,1,5080,33,0,0,0,0,1,0,0,0,1,0,0,0,0,1,5,5,4.0952381,1,1,-0.100083464,5.036558979,0.0907557,3,17,15,-98606.57842,18835.13507,494.8395546,-12263.60805,-8834.853057,-5829.650309,2459.293204,462.5507714,-506.6839384,474.5903849,752.2174366,36.63757395,7.716442801,-5.892773102,6.805953558
1,0,0,1,0,6982,19,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,3,2.0742358,2,0,-0.07713572,5.906651708,0.0203653,3,15,11,-153668.0571,26392.04388,-1060.213753,-6692.329158,914.7863273,4264.654299,3172.916108,-2270.702704,518.8524147,-354.43423,67.84789765,-215.6367813,28.29148595,-20.32287067,8.334148521
0,0,0,0,0,6842,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,7.039075896,0.1890839,0,0,0,-63933.9186,7132.281696,3941.81305,-8425.217793,2916.211162,-2962.250713,-149.9213724,373.9421973,-119.2288763,99.4776268,-127.5480226,-58.77833547,6.684513206,-29.67519884,54.43326248
1,1,0,1,0,17270,51,0,0,0,1,1,0,1,0,1,0,0,0,0,1,7,7,6.0649351,2,1,-0.06713934,5.824900538,0.0441177,12,17,1,-75511.27934,15214.17244,-705.1385526,-2124.349013,-294.5842258,-1876.990772,-1489.962545,125.3735578,-684.1278023,69.57157413,-176.3855781,-19.22209342,29.1948989,-20.04204598,8.372454892
1,0,0,0,0,1089,9,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2,1.0174673,2,1,-0.017621653,4.795790546,0.25,15,12,0,-1.272820788,0.180554451,0.488899505,0.470980716,0.553505357,4.688987723,24.27517256,-93.54605319,23.54734705,-1.827486698,-2.986113026,4.621536467,-3.049990913,2.540519752,20.65131035
1,1,0,1,0,18759,130,0,0,0,1,1,0,1,0,1,0.00725115,0.9350649,0.09708738,0.015,1,8,8,7.0692641,2,1,-0.071779715,4.971894466,0.1040541,15,17,3,-76724.18267,8463.047059,-7882.397182,-388.0948722,-2631.779207,-107.6814641,-648.9479768,47.33801826,-1502.032067,-731.4611073,246.915128,-19.47388556,6.932129798,-33.48743059,18.22824558
0,0,0,0,0,9706,45,0,0,0,0,0,0,0,0,1,0.05645161,0.9391304,0.09708738,0.044,1,3,3,2.0608696,2,1,-0.062800938,5.37383704,0.099359,15,17,16,-48881.03444,34263.01964,-15820.8705,-4258.446893,-3349.528464,-702.7049859,111.8568612,192.3294283,-12.79758735,187.8902568,687.7494211,-1.284523251,-5.920432764,-29.99728061,-1.569495643
1,0,1,0,0,2329,36,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,3,2.0217391,2,1,-0.021978876,4.169675331,0.1716327,15,17,2,-59332.36089,4360.299872,377.3500364,-7548.111439,-1222.160339,-1992.153731,341.615375,-286.3378491,-915.7474526,39.01211692,398.0987045,-80.10108243,134.7468181,-28.16061422,8.252096355
0,0,0,0,0,1239,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0.026087,3,1,-0.026433302,5.330300412,0.24106,15,0,0,-66192.21852,4928.515677,-36.11254919,-6646.31948,-580.4217975,-1178.542306,787.9106169,573.8378495,-103.2336815,226.7473706,355.3309879,-7.34906731,11.50387119,-25.99342754,-2.585624
0,0,0,1,0,11757,12,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,3,2.025974,3,1,-0.026317282,6.887297437,0.0384615,3,17,15,-87744.94289,9955.151034,-6480.530519,-6646.963936,4196.900182,-3350.343794,-271.634152,469.2280696,-735.034446,313.0950037,663.0703408,-45.68040835,20.78545741,-14.51942063,9.47859126
0,0,0,1,0,2518,34,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,1.004329,1,0,-0.004338397,4.30485969,0.0362319,3,15,0,-87548.60564,12639.27409,-3440.878255,-6381.395845,4168.496742,70.5276222,375.1797229,121.7170287,278.4725953,-80.03305777,520.4113383,-15.0345335,-6.033928986,-9.968326165,1.813387664
1,1,0,0,0,8192,27,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,3,2.1043478,1,0,-0.110203111,5.715076481,0.0945578,1,12,11,-116624.9557,-373.3314093,-821.0401568,-9947.224097,-5308.82229,-1229.052084,2035.044167,128.8694699,143.4440149,-274.3655234,284.1244482,254.9146079,85.37948768,-6.335584065,-0.268645874
0,0,0,0,0,1072,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,5.367843429,0.09375,0,0,0,-1.767967666,0.244970201,0.651439054,0.727189025,0.810653349,6.515514655,33.73319418,-130.1900911,32.80288249,-2.557311072,-4.501513295,-10.10768409,-5.149717793,7.052944129,11.46107614
0,0,0,1,0,2764,28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,1.03125,1,1,-0.031748698,4.592229675,0.225,3,15,0,-32630.37808,23170.44034,-5427.280161,-13660.68945,-705.3200772,1398.677982,-539.5369257,51.281962,-53.38715501,-155.6146289,201.6655374,-41.51167421,-1.291337009,-3.112120314,29.74300494
1,0,0,1,0,9513,7,0,0,0,0,0,0,0,0,1,0.00490196,0.9391304,0.07035176,0.143,0,3,3,2.0695652,3,0,-0.072103275,7.214504414,0.0775862,3,16,15,-125407.6209,18267.87217,7909.212551,-8861.163923,-4722.369335,-2431.655829,2361.94968,374.1143936,-230.924878,-300.4489298,518.5660193,98.65143594,5.540521362,-16.88094007,3.802778147
1,0,0,1,0,1353,26,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,3,2.0606061,1,0,-0.062520399,3.95198309,0.0522898,3,12,15,-136407.7409,17332.1192,-5110.923942,-6237.874013,5370.26122,-2242.272693,1157.066348,-817.9662801,-72.25006467,170.7617241,80.96835352,-25.13601211,-35.63620763,-18.53649927,0.334086574
1,1,0,0,0,9526,90,0,0,1,1,0,1,0,0,1,0,0,0,0,1,6,6,5.0519481,1,0,-0.053346031,4.661970511,0.0192308,15,17,6,-124390.4329,18552.47584,-3579.316494,-10737.06634,5824.244143,2280.938628,360.3814253,-319.3284002,-1630.862378,120.3385862,364.2777379,-39.45180756,-12.18772404,-15.55379433,8.724821489
0,0,0,1,0,8273,34,0,0,0,0,1,0,0,0,1,0,0,0,0,1,4,4,3.017316,2,1,-0.017467675,5.494391955,0.1132479,15,17,3,-39724.55259,27819.60041,-10227.23633,-6709.348024,-1039.910319,-871.5905127,1035.281747,26.9475884,-824.1879499,-96.98643022,703.845675,-18.58238827,6.073486772,-16.81713577,11.13907187
1,1,0,0,0,2312,35,0,0,1,1,0,0,0,0,1,0,0,0,0,1,5,5,4.0909091,2,1,-0.09531019,4.190520168,0.1509009,15,0,0,-32852.39297,22972.76554,-4152.385715,-9277.828359,560.1578943,-1088.9887,1852.222767,-4278.276249,122.4226188,-321.1648684,379.2276747,56.58441087,-48.12854025,-31.39889583,5.207591024
0,0,0,0,0,7153,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,6.390380478,0.0208333,0,0,0,-81804.92031,55388.60615,12607.7318,-2497.525118,2516.00576,-1729.332778,-525.9042725,601.086819,121.6992194,-243.1722454,358.1369196,-60.99963887,4.170161631,-11.08969389,11.71376258
0,0,0,0,0,2439,11,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2,1.0347826,3,1,-0.035401918,5.401448125,0.0517881,12,15,0,-91524.84739,15151.80675,-10080.8722,-9009.225268,5721.160493,1490.316329,-699.9312478,287.914127,28.47157105,-427.603654,218.8041073,-85.09485743,-3.973428959,-16.43641279,11.69347613
0,1,0,1,0,2955,36,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,4,3.008658,1,1,-0.008695698,4.407734991,0.3336694,15,17,1,-50818.2213,4621.003688,-4996.79527,-11977.21889,483.4341627,-240.1178106,151.0476771,-1856.625307,-679.2651233,-489.1694629,1.755952708,137.5458592,-8.27176721,-46.279365,14.60061875
1,1,0,0,0,1328,32,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,3,2.0043478,1,0,-0.004357279,3.725693427,0.1370968,1,17,1,-75064.73557,8893.207037,-8589.807154,-6289.644644,1189.238659,-1165.122168,1182.075248,624.0205969,130.0537229,-109.3161549,565.8979921,-41.84479804,30.71033684,-5.765792168,3.762674145
1,1,0,1,1,6175,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2.012987,2,1,-0.013072068,4.944074528,0.1952381,1,3,4,-33582.26611,23725.16602,-7390.922983,-11507.54613,120.3729088,-1966.377026,2524.262679,-7631.77651,1073.437175,-433.6664707,473.3174368,-351.8564655,-3.52515454,-32.55739326,8.923639101
0,0,0,1,0,2631,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0881057,3,1,-0.092231195,5.795677739,0.1360727,3,0,0,-67661.66768,9495.563303,1262.808348,-6636.316866,1743.481412,-1080.730864,1241.295514,-71.24192628,-1153.067617,161.8280989,514.0600237,37.54120809,-1.791370711,-31.42659057,5.26418142
1,0,0,0,0,2759,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,6.536329213,0.1747738,0,0,0,-55251.63162,5027.275579,-2548.955754,-5715.656639,1114.695147,428.1051753,90.65606856,266.6400605,162.8977856,-116.5526388,333.6812917,-18.36935046,2.596674333,-38.68879192,18.09021484
0,0,0,0,0,3493,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,6.366756776,0,0,0,0,-53225.33692,41251.91549,-73881.93015,-12644.30914,-36725.91592,5840.703068,3462.208304,460.4271141,-889.623246,10026.73949,-4687.501586,68.30709691,2.550593733,-53.01062379,19.42949713
0,0,0,1,0,3401,80,0,0,0,0,0,1,1,0,1,0,0,0,0,1,5,5,4.056277,1,1,-0.057922588,3.74979815,0.0089286,3,15,0,-139531.3454,25679.57715,377.472463,-7607.065707,-327.5832788,809.1609538,851.4697386,-323.7523893,-118.9965741,160.9568102,-456.5163182,-142.1474777,-28.70389226,-13.7654972,6.190613959
0,0,0,0,0,2978,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6.389569301,0.0816364,0,0,0,-104706.9336,13532.33151,-2557.534607,-7060.738154,3001.689362,-573.1127858,-278.8696552,-418.0560243,-1552.998188,-18.50817959,661.1702529,11.72669923,-7.24624209,-10.24621773,7.488254551
0,0,0,1,0,768,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,1.0611354,3,1,-0.063084006,4.446565156,0.3428572,3,15,0,-43234.25528,30974.46456,-4977.043233,-4440.29315,-17926.47761,-376.0045366,-4769.636967,-1323.164961,-864.1938762,2924.498666,-260.4541538,-20.65028874,-5.229589974,-56.433619,1.376260636
1,0,0,1,1,8038,50,0,0,0,0,0,0,0,0,1,0.05221932,0.9432315,0.1092896,0.04,1,5,5,4.1048035,2,0,-0.110712032,5.07991257,0.0384615,15,17,3,-6.908427067,-0.598420525,1.462518025,6.621179555,15.81323608,21.1984978,94.03205694,-442.7734064,-496.1720797,12.60781409,-24.08307392,50.40108498,-7.889197585,15.29742496,-11.39654265
1,0,0,0,0,9493,51,0,0,0,0,0,0,0,0,1,0.0412844,0.9350649,0.1092896,0.039,1,3,3,2.0649351,1,0,-0.06713934,5.226484331,0.1819122,15,17,16,-66772.94989,12044.36129,-982.5853783,-12734.79742,881.6030577,49.47035589,162.1399857,106.1775703,-1010.980175,-294.4282798,353.9434637,-5.871314318,5.10850658,-21.38327805,-3.051682295
0,0,0,1,0,5120,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.008658,2,1,-0.008695698,5.832859517,0,3,0,0,-9.642425586,0.550773112,3.034753558,5.825913407,10.7471076,33.50988062,165.740842,-679.489513,-128.5725879,-2.867418864,-27.47921565,-13.7308785,-20.46554412,10.50215159,9.822152537
0,0,0,0,1,1982,9,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,3,2.0888889,2,0,-0.093090435,5.394637138,0.0789474,15,17,4,-55836.27108,38274.38712,-7513.50593,-2675.195403,4436.719087,-1878.222786,-1249.081891,80.41945125,55.42710326,-309.8939782,632.1642242,19.05441883,-4.805824311,1.147513784,0.370578101
0,1,0,0,0,8242,104,0,0,0,0,0,0,1,0,1,0.07248018,0.9350649,0.1092896,0.019,1,5,5,4.0649351,2,1,-0.06713934,4.372607413,0.1522134,15,17,12,-73438.60164,10079.59381,-4862.025927,-5043.925538,2776.160202,-2565.183107,-42.36216959,-38.99004108,180.4385309,-142.4371821,813.1481597,5.84996085,-6.96003574,-6.774442165,6.936363043
